scan_code,item_name,department,vendor,count,cost,price,total_cost,total_retail
4900002820,FANTA PINEAPPLE 20 oz,08 Soda,,-3356,2.88,4.68,-9665.28,-15706.08
8066095796,MODELO CHELADA 24OZ SINGLE,07 Beer,,916,2.97,5.78,2720.52,5294.48
5200032481,G COOL BLUE,08 Sports Drinks,,-3858,4.42,5.06,-17052.36,-19521.48
1820025002,NATURAL LIGHT 25OZ SINGLE ,07 Beer,,-4040,3.74,4.04,-15109.6,-16321.6
7800002868,VENOM CHERRY KIWI,08 Energy Drinks,,-72,2.43,1.81,-174.96,-130.32
81752202433,2433 MEGA LOTERIA ,Scratch,,2015,3.33,7.54,6709.95,15193.1
85764100289,BUZBALLZ CHOCO,07 Wine,,1905,1.54,2.54,2933.7,4838.7
81752202321,super crossword,Scratch,,-1787,4.38,3.54,-7827.06,-6325.98
4900002319,SPRITE 1 L,08 Soda,,-793,1.06,8.43,-840.58,-6684.99
4900002656,DASANI 1L,01 Water,,2453,4.74,5.84,11627.22,14325.52
7800008340,DR PEPPER DIET 20 OZ,08 Soda,,4222,3.64,4.22,15368.08,17816.84
61076486381,BANG PEACH MANGO ,08 Energy Drinks,,-3900,2.74,7.37,-10686.0,-28743.0
85764100229,TRP CHLLZ PINE COLA,07 Wine,,-1189,1.75,4.96,-2080.75,-5897.44
4900005341,COCA COLA 16 OZ CN,08 Soda,,-308,1.77,9.83,-545.16,-3027.64
81752202325,2325 BONUS GAME BINGO 2,Scratch,,-613,3.23,6.57,-1979.99,-4027.41
1200020238,BRISK LEMON TEA,08 Soda,,4945,1.71,5.81,8455.95,28730.45
78616220043,SMART WATER 20 OZ,01 Water,,-4889,0.75,2.14,-3666.75,-10462.46
61076438945,REDLINE BLUE RAZZ 8OZ,08 Energy Drinks,,1327,2.1,1.73,2786.7,2295.71
7084703462,MONSTER ULTRA FIESTA 16OZ,08 Energy Drinks,,1844,2.9,5.95,5347.6,10971.8
5200024123,GATORADE COOL BLUE SPORT CAP 24OZ,08 Sports Drinks,,-4967,4.16,2.49,-20662.72,-12367.83
7800005240, AW ROOT BEER 20 OZ,08 Soda,,2041,1.97,5.59,4020.77,11409.19
81752202287,1Mill Crossword,Scratch,,326,3.26,5.86,1062.76,1910.36
65722700033,ESSENTIA WATER 1L,01 Water,,566,4.04,2.27,2286.64,1284.82
61126913344,RED BULL 20OZ,08 Energy Drinks,,2724,1.17,6.12,3187.08,16670.88
63598525875,MIKES LEMONADE 16OZ SINGLE ,07 Beer,,2746,2.21,3.55,6068.66,9748.3
7800000315,DR PEPPER,08 Soda,,-1416,3.81,7.56,-5394.96,-10704.96
8066095721,MODELO 24OZ SINGLE ,07 Beer,,-1649,2.05,3.71,-3380.45,-6117.79
85300400495,CORE 23.9 OZ 707 ML,01 Water,,2450,4.99,8.84,12225.5,21658.0
81752202167,New Mega Lotteria,Scratch,,444,4.27,9.35,1895.88,4151.4
61126954601,RED BULL 16OZ,08 Energy Drinks,,2704,2.08,8.52,5624.32,23038.08
1200001672,STARBUCKS FRAPPUCCINO CARAMEL 13.7 OZ,08 Coffee/Cappucino,,-1424,3.16,3.3,-4499.84,-4699.2
7199030065,COORS LIGHT 24OZ SINGLE,07 Beer,,3991,2.04,4.48,8141.64,17879.68
81752202345,1MILL CROSSWORD,Scratch,,3013,0.68,8.1,2048.84,24405.3
88939200031,CELSIUS SPRKLNG ORANGE 12OZ,08 Energy Drinks,,4396,1.79,5.43,7868.84,23870.28
2113601037,TOPO CHICO 12OZ,01 Water,,1258,1.47,8.02,1849.26,10089.16
81752202301,Sapphire Blue 7s,Scratch,,-4315,2.27,1.94,-9795.05,-8371.1
8769200490,TWISTED TEA PEACH 24OZ SINGLE ,07 Beer,,2534,2.06,1.5,5220.04,3801.0
81752202304,Diamond White 7s,Scratch,,-3987,3.71,9.79,-14791.77,-39032.73
81752202296,2296 LADY LUCK,Scratch,,1451,3.74,8.62,5426.74,12507.62
61076486365,BANG STAR BLAST,08 Energy Drinks,,-1348,2.18,6.19,-2938.64,-8344.12
1200000134,MOUNTAIN DEW DIET 20 OZ,08 Soda,,3509,2.95,7.36,10351.55,25826.24
7716246352,Fountn 44,08 Fountain,,-4257,4.18,7.04,-17794.26,-29969.28
7800002377,VENOM RATTLER,08 Energy Drinks,,4715,3.5,3.8,16502.5,17917.0
7084702901,MONSTER JUICE MANGO LOCO 16OZ ,08 Energy Drinks,,-1538,1.87,7.84,-2876.06,-12057.92
4900002979,PIBB XTRA 20OZ,08 Soda,,3730,0.89,2.95,3319.7,11003.5
5200013519,GATORADE FROST GLACIER FREEZE 28OZ,08 Sports Drinks,,-3199,0.93,6.92,-2975.07,-22137.08
5200013508,GATORADE LIME CUCUMBER 28OZ,08 Sports Drinks,,-1300,1.19,2.69,-1547.0,-3497.0
61126932121,RED BULL COCONUT BERRY 12OZ,08 Energy Drinks,,-536,0.95,1.3,-509.2,-696.8
81752202246,2246 Bonus Game Bingo,Scratch,,167,3.47,5.94,579.49,991.98
